frame,visible,score,x,y
505,0,-inf,-inf,-inf
506,1,15.392578,865.7831573486328,25.6866192817688
507,1,11.754395,861.7813873291016,27.211501598358154
508,1,2.805664,860.5255889892578,28.473286628723145
509,1,1.0419922,856.2851715087891,27.5
510,1,9.875,854.8986053466797,28.757169246673584
511,1,13.983398,885.3329467773438,35.180180072784424
512,1,12.908203,847.8338623046875,31.357240676879883
513,1,9.901855,877.7596282958984,38.471693992614746
514,0,-inf,-inf,-inf
515,1,1.612793,839.1432189941406,33.314411640167236
516,1,12.921387,870.3461456298828,39.881248474121094
517,1,13.397461,833.9841461181641,35.470242500305176
518,1,13.206055,829.5689392089844,35.50312519073486
519,1,12.298828,885.8808898925781,47.99964427947998
520,0,-inf,-inf,-inf
521,1,4.5615234,652.1151733398438,10.338257551193237
522,0,-inf,-inf,-inf
523,1,16.13379,875.3546142578125,50.31656742095947
524,1,10.13916,809.7604370117188,38.93835783004761
525,1,10.552246,806.3421630859375,40.050435066223145
526,1,1.7460938,867.5062561035156,53.324246406555176
527,1,1.0795898,863.6669158935547,52.5
528,1,12.041016,799.5331573486328,42.52260684967041
529,1,11.90332,856.4669036865234,55.294528007507324
530,1,9.564453,853.8325500488281,54.99859809875488
531,1,12.030273,789.7468566894531,44.34724807739258
532,0,-inf,-inf,-inf
533,1,3.9331055,525.2852249145508,2.454376220703125
534,0,-inf,-inf,-inf
535,0,-inf,-inf,-inf
536,1,3.9550781,777.8672790527344,46.44382953643799
537,0,-inf,-inf,-inf
538,0,-inf,-inf,-inf
539,0,-inf,-inf,-inf
540,0,-inf,-inf,-inf
541,0,-inf,-inf,-inf
542,0,-inf,-inf,-inf
543,1,0.5019531,830.0,57.5
544,0,-inf,-inf,-inf
545,0,-inf,-inf,-inf
546,0,-inf,-inf,-inf
547,0,-inf,-inf,-inf
548,0,-inf,-inf,-inf
549,1,0.52734375,792.5,62.5
550,0,-inf,-inf,-inf
551,0,-inf,-inf,-inf
552,0,-inf,-inf,-inf
553,0,-inf,-inf,-inf
554,1,8.121094,799.4805145263672,65.20668029785156
555,0,-inf,-inf,-inf
556,0,-inf,-inf,-inf
557,1,5.9658203,801.966552734375,69.35873508453369
558,1,4.819824,830.8461761474609,75.0205135345459
559,1,0.5595703,805.0,72.5
560,1,1.0478516,803.7698364257812,73.73019695281982
561,0,-inf,-inf,-inf
562,0,-inf,-inf,-inf
563,1,8.134766,835.5654144287109,78.13040256500244
564,1,5.3413086,835.1522064208984,80.7889175415039
565,0,-inf,-inf,-inf
566,1,3.4077148,988.3779907226562,35.36430835723877
567,0,-inf,-inf,-inf
568,0,-inf,-inf,-inf
569,0,-inf,-inf,-inf
570,1,0.55078125,810.0,82.5
571,0,-inf,-inf,-inf
572,1,8.811035,492.38182067871094,34.16846752166748
573,1,8.640137,493.4571838378906,36.48078441619873
574,0,-inf,-inf,-inf
